source,target
26629,14919
26629,8952
26629,19226
32774,20746
32774,329
32774,17139
43017,94765
43017,51424
43017,79038
43017,59255
30731,15794
30731,24828
30731,24560
30731,17853
26648,11019
94232,67239
94232,57599
94232,63692
94232,86146
43038,87459
43038,92202
43038,58521
43038,81283
43038,29110
18468,28457
18468,64538
18468,24276
28713,26236
28713,5689
28713,1580
28713,18087
92202,87459
92202,58521
92202,81283
92202,43038
92202,29110
92202,62457
79915,22722
79915,48087
79915,27112
79915,29232
55337,97529
55337,86145
55337,28505
22575,28164
22575,1470
22575,9648
88116,58512
88116,72391
88116,43613
88116,48657
10304,28005
10304,13035
10304,17727
10304,11433
59458,95380
59458,59255
43086,63692
43086,57599
43086,69501
18516,32467
18516,23942
18516,18999
26714,30241
26714,16815
26714,26864
75867,84382
12384,82360
12384,19326
12384,81636
18529,17924
18529,59498
18529,32399
18529,5979
20577,15364
20577,6983
20577,28122
59498,32399
59498,17924
59498,81328
59498,18529
18546,27109
18546,23614
8309,18231
8309,29893
8309,29306
8309,28530
8309,10614
22646,30241
22646,12976
22646,26714
28792,14315
28792,61594
28792,15309
28792,43006
28792,65395
24697,9296
24697,9648
24697,12240
2170,7761
2170,10388
2170,8952
82040,61606
82040,85516
82040,64416
10366,6381
86145,97529
86145,28505
86145,55337
86146,50254
86146,27806
86146,79308
71814,24828
71814,23422
71814,41216
14477,25702
14477,28547
14477,21282
14477,9101
10388,2170
10388,7761
10388,8952
10388,26629
16535,3632
16535,18108
16535,3939
67735,23244
67735,43599
67735,40738
61594,43006
61594,65395
61594,14315
61594,15309
61594,28792
12450,22040
12450,23448
12450,28530
61606,84382
61606,82040
4268,974
4268,2877
4268,4382
4268,8028
4268,11677
4268,12539
4268,12564
4268,13897
4268,17129
4268,19438
4268,20393
4268,20435
4268,21606
4268,23315
4268,24805
4268,27636
4268,27928
4268,28874
4268,29393
4268,30419
4268,31856
4268,10589
4268,16979
4271,23317
4271,10000
24756,26480
28855,21282
28855,56751
28855,26201
22722,48087
22722,29232
22722,76627
22722,7059
22722,79915
10434,24276
10434,28502
10434,15524
28874,974
28874,2877
28874,4382
28874,8028
28874,11677
28874,12539
28874,12564
28874,13897
28874,17129
28874,19438
28874,20393
28874,20435
28874,21606
28874,23315
28874,24805
28874,27636
28874,27928
28874,29393
28874,30419
28874,31856
28874,4268
28874,10589
63692,43086
63692,52532
63692,66411
63692,40738
63692,23244
63693,66409
63693,76182
63693,65395
63693,42360
63693,74217
63693,43006
73946,62402
73946,90393
73946,83093
73946,31958
73946,96734
82138,93459
82138,27806
20704,27945
20704,10589
20704,2344
20704,1580
51424,59255
51424,43017
51424,79038
14563,2420
14563,236
14563,26648
18659,17666
18659,21586
24805,974
24805,2877
24805,4382
24805,8028
24805,11677
24805,12539
24805,12564
24805,13897
24805,17129
24805,19438
24805,20393
24805,20435
24805,21606
24805,23315
24805,27636
24805,27928
24805,28874
24805,29393
24805,30419
24805,31856
24805,4268
24805,10589
236,2420
236,30612
236,5801
6381,10366
6381,28490
26864,16815
26864,26714
28916,28161
28916,10304
28916,6429
28916,11003
18681,21192
12539,974
12539,2877
12539,4382
12539,8028
12539,11677
12539,12564
12539,13897
12539,17129
12539,19438
12539,20393
12539,20435
12539,21606
12539,23315
12539,24805
12539,27636
12539,27928
12539,28874
12539,29393
12539,30419
12539,31856
12539,4268
12539,10589
24828,24560
24828,30731
24828,71814
24828,29503
24828,23422
252,4651
252,22391
252,20790
252,23637
86270,70521
86270,48159
86270,93077
86270,96040
86270,63200
45309,70563
2304,15042
2304,21586
2304,28516
41216,71814
41216,433
41216,44212
24834,10388
24834,29058
67835,66411
67835,52532
67835,96040
