source,target
64512,66409
64512,98622
64512,63110
64512,76182
64512,89310
57858,50822
57858,47101
57858,74448
57858,77893
57858,81233
28164,25429
28164,28611
28164,31305
28164,31336
28164,19031
27142,25475
27142,28493
27142,24953
27142,29533
27142,29573
28166,28394
28166,27129
28166,31854
28166,22387
28166,49037
58888,62795
58888,54586
58888,72102
58888,50067
58888,76042
31241,46034
31241,50067
83982,91098
83982,80645
83982,94564
83982,78476
83982,77597
17936,17757
17936,17964
17936,17259
17936,18510
17936,18546
12819,8443
12819,12539
12819,12976
12819,9706
12819,17470
6676,6838
6676,7009
6676,7726
6676,7803
6676,4685
21529,12539
21529,23427
21529,17470
21529,12976
21529,12819
29722,30176
29722,31341
29722,31615
29722,31856
19995,20117
19995,18108
19995,21448
19995,18894
19995,64512
21019,12246
21019,9594
21019,8482
21019,42281
21019,50757
11295,11755
11295,10469
11295,10434
11295,10160
11295,9818
1569,4923
1569,12246
1569,1386
1569,8482
1569,9594
17964,17936
17964,17757
17964,18510
17964,18546
17964,17259
7726,7009
7726,6838
7726,7803
7726,6676
7726,8145
16943,4962
25140,26200
25140,24126
25140,26736
25140,26999
25140,27049
12856,12902
12856,11755
12856,14813
12856,11295
12856,10469
6205,5240
6205,7787
6205,8005
6205,279
6205,13794
24126,25140
24126,23145
24126,26200
24126,22677
24126,26736
17470,12976
17470,21529
17470,12819
17470,12539
17470,23427
70206,68949
70206,72351
70206,74217
70206,77597
70206,78476
77893,74448
77893,81233
77893,86831
77893,96152
77893,57858
21575,22387
21575,27129
21575,17054
21575,28166
21575,28394
89157,93147
89157,31305
89157,70485
89157,31336
89157,28611
3145,2195
3145,6911
3145,433
3145,2779
3145,8443
31305,89157
31305,31336
31305,28611
31305,70485
31305,19031
50757,42281
50757,79016
50757,21019
50757,9594
4685,3764
4685,2755
4685,2403
4685,1227
4685,6676
18510,18546
18510,17964
18510,17936
18510,17757
18510,19817
16976,17259
16976,16847
16976,16000
16976,17757
16976,17936
7761,5450
7761,18894
7761,18126
7761,6505
7761,16199
19031,11147
19031,28611
19031,8091
19031,31305
19031,31336
26200,26736
26200,26999
26200,25140
26200,27049
26200,24126
9818,10160
9818,10434
9818,9128
9818,10469
9818,9021
12902,12856
12902,14813
12902,11755
12902,11295
12902,15042
31336,31305
31336,28611
31336,70485
31336,89157
31336,19031
23145,22677
23145,21827
23145,24126
23145,25140
23145,20628
7787,8005
7787,6205
7787,5240
7787,279
7787,13794
31341,31615
31341,31856
31341,30176
31341,29722
31854,28394
31854,49037
31854,28166
31854,27129
31854,70505
31856,31615
31856,31341
31856,30176
26736,26999
26736,26200
26736,27049
26736,25140
26736,27771
18546,18510
18546,17964
18546,19817
18546,17936
18546,17757
5240,6205
5240,7787
5240,8005
5240,279
5240,13794
27771,27945
27771,27049
27771,28325
27771,26999
27771,26736
7803,7726
7803,7009
7803,8145
7803,6838
7803,9021
94846,97547
94846,99197
94846,84213
94846,76042
94846,72102
16000,16847
16000,15227
16000,16976
16000,15083
16000,15042
63110,76182
63110,47789
63110,66409
63110,64512
63110,98622
50822,47101
50822,57858
50822,74448
50822,77893
50822,81233
78476,77597
78476,80645
78476,74217
78476,72351
78476,83982
2195,3145
2195,6911
2195,433
2195,2779
2195,357
20628,19817
20628,21827
20628,18546
20628,22677
20628,18510
22677,23145
22677,21827
22677,24126
22677,25140
22677,20628
20117,19995
20117,21448
20117,18108
20117,18894
20117,64512
17054,13014
17054,21575
17054,22387
17054,27129
17054,28166
72351,74217
72351,70206
72351,68949
72351,77597
72351,78476
28325,27945
28325,27771
28325,27049
28325,26999
28325,29722
79016,50757
79016,42281
79016,21019
79016,76182
47789,63110
47789,76182
47789,64512
47789,66409
47789,21448
12976,12819
12976,12539
12976,9706
12976,17470
12976,8443
689,8091
689,11147
689,19031
689,6205
689,5240
3764,4685
3764,2755
3764,2403
3764,1227
3764,989
6838,6676
6838,7009
6838,7726
6838,7803
6838,8145
18108,21448
18108,19995
18108,20117
18108,18894
18108,47789
15042,15083
15042,15227
15042,14813
15042,16000
15042,12902
2755,2403
2755,3764
2755,4685
2755,1227
2755,989
10434,10469
10434,10160
10434,9818
10434,11295
10434,11755
23748,23427
23748,21529
23748,17470
23748,12976
23748,12819
1227,2755
1227,989
1227,984
1227,902
1227,2403
18126,19226
18126,16199
18126,29485
18126,56805
74448,77893
74448,86831
74448,81233
74448,57858
74448,96152
13014,17054
13014,21575
13014,22387
13014,27129
13014,28166
2779,357
2779,252
2779,8443
2779,9706
2779,2195
89310,62296
89310,66409
89310,64512
89310,98622
89310,76182
21220,24953
21220,25475
21220,17727
21220,16894
21220,27142
10469,10434
10469,11295
10469,10160
10469,11755
10469,9818
28394,28166
28394,27129
28394,31854
28394,49037
28394,22387
15083,15042
15083,15227
15083,14813
15083,16000
15083,16847
84213,94846
84213,97547
84213,99197
84213,76042
84213,72102
8443,12976
8443,12819
8443,9706
