source,target
90115,80645
90115,98944
90115,80882
90115,90075
90115,80335
79876,70796
79876,70180
79876,70714
79876,64663
79876,88395
79877,76154
79877,80644
79877,90393
79877,48629
79877,88613
32774,32593
32774,30881
75785,78557
75785,70206
75785,79084
75785,99334
83982,49141
83982,93147
83982,81041
83982,62295
83982,76568
30740,26513
30740,21974
94232,97837
94232,88395
94232,85974
94232,82810
94232,86969
69672,92050
69672,56829
69672,66208
69672,67117
69672,50899
92202,97916
92202,88452
92202,89402
92202,75889
92202,99485
59437,55878
59437,70180
59437,65956
59437,64663
59437,82982
30767,30881
30767,32774
30767,32593
88116,67788
88116,69943
88116,62457
88116,84179
73790,75889
73790,76873
73790,75994
73790,82184
73790,89560
6210,4710
6210,11477
6210,2304
6210,8057
6210,2184
63560,70323
63560,73504
63560,74683
63560,75994
63560,73790
65611,86145
65611,83808
65611,79862
65611,80849
65611,77926
10317,5875
10317,1387
20558,12709
20558,11470
20558,18871
20558,25659
20558,11932
10323,6912
10323,9086
10323,13318
10323,8028
10323,10630
90195,89560
90195,75994
90195,73316
90195,82184
90195,76873
4187,4894
4187,5830
4187,1042
4187,7009
8283,8812
8283,6880
8283,14672
8283,1994
12384,7192
12384,7275
12384,2512
12384,12856
12384,24049
18529,24841
18529,16119
18529,3677
18529,15496
18529,23502
16483,13855
16483,18430
16483,16815
16483,17059
16483,26169
77926,83808
77926,86145
77926,79862
77926,80849
77926,88778
10344,10059
10344,7339
10344,14315
10344,6983
10344,797
51307,32245
51307,31219
96364,95564
96364,98717
96364,67835
96364,87941
96364,74195
26736,30697
26736,32774
26736,32593
26736,23899
26736,29586
75889,76873
75889,73790
75889,57492
73843,59373
73843,94733
73843,86270
73843,75534
117,12246
117,2195
117,6863
117,8984
117,3677
2170,366
2170,4237
2170,4263
2170,5209
2170,974
12412,11825
12412,11135
12412,7009
12412,7354
12412,10679
86145,92695
86145,77926
86145,83808
86145,80849
86145,65611
45185,31219
45185,65395
45185,29503
45185,32370
59523,48986
59523,67265
59523,68962
59523,46187
59523,55807
2184,11477
2184,3319
2184,4710
2184,9871
2184,6210
4237,4263
4237,9871
4237,2170
4237,1527
4237,172
2195,6566
2195,11228
2195,3392
2195,117
2195,3790
57492,75889
57492,76873
90261,95564
90261,87941
90261,67835
90261,66657
61590,76182
61590,31772
61590,44164
61590,95803
61594,48986
61594,68962
61594,50462
61594,51404
61594,67117
69787,67265
69787,66115
69787,86270
69787,81233
69787,77746
30881,30767
30881,32774
30881,32467
4263,4237
4263,5209
4263,1100
4263,2170
4263,366
63659,75994
63659,73504
63659,70954
63659,76580
63659,82291
172,5209
172,1100
172,974
172,6912
172,8028
84142,99096
84142,88588
84142,72931
84142,51555
73902,85197
73902,70478
28855,26059
28855,26569
28855,31307
28855,29860
26816,29586
26816,13405
26816,46187
26816,20825
26816,17489
45248,51735
45248,42474
45248,42396
45248,62887
53440,63745
53440,71215
53440,48804
53440,50899
53440,57051
12483,19398
12483,13884
51404,55697
51404,54766
51404,61809
26829,15496
26829,51555
26829,24841
26829,28325
26829,16119
57550,72538
57550,79862
57550,54911
57550,31030
57550,44996
67788,88116
67788,69943
67788,62457
67788,79016
84179,94617
84179,81775
84179,85720
4312,5385
4312,7260
4312,1453
4312,3888
4312,12240
6360,20330
6360,13144
6360,10686
75994,63659
75994,81443
75994,90195
75994,73504
75994,63405
45272,32287
45272,29860
45272,28855
45272,28591
45272,27275
82138,97524
82138,70505
82138,93435
82138,95105
57585,66115
57585,45185
57585,67265
57585,46187
57585,48986
246,6880
246,2420
246,5210
246,3491
246,2647
55544,49038
55544,67475
55544,79655
55544,42364
57592,83498
57592,75438
57592,51735
57592,49018
67835,77581
67835,87704
67835,80632
67835,70740
67835,90261
86270,83342
86270,81597
86270,86665
86270,69787
8447,7787
8447,10718
8447,4082
2304,8057
2304,6210
2304,3319
2304,794
2304,11477
63745,53440
63745,71215
63745,56447
63745,45723
63745,67323
76032,73504
76032,74683
76032,70323
76032,82291
76032,96699
22788,11838
22788,8081
55557,66824
55557,70308
55557,52777
55557,44164
45316,31680
45316,19995
45316,51669
45316,41914
82184,75241
82184,73790
82184,90195
82184,73316
82184,75994
24841,18529
24841,26829
24841,28490
24841,11228
24841,16119
20746,15327
20746,19484
20746,17489
20746,13606
20746,30697
267,26917
267,11346
267,23422
267,19995
14602,11470
14602,18871
14602,12709
14602,11932
14602,15794
76042,62594
76042,48986
76042,57614
57614,48986
57614,93031
57614,62594
57614,76042
98574,98685
98574,97765
98574,93026
98574,77053
98574,98605
18712,17617
18712,6759
90393,80644
90393,79877
90393,65342
90393,88588
4378,1042
4378,4894
4378,9661
4378,6908
4378,13373
10531,7681
10531,19144
10531,24387
26917,30232
26917,9873
26917,24126
92458,95564
92458,95672
92458,87941
92458,77746
98605,98685
98605,81724
98605,98574
98605,82579
98605,98206
18734,25475
18734,17385
18734,25538
18734,14285
18734,2184
6447,6983
6447,7339
6447,14315
6447,9101
6447,15887
4398,6863
4398,12819
4398,23748
4398,8984
28977,27239
28977,49141
28977,31904
28977,83982
31030,50487
31030,79862
69943,88116
69943,73008
69943,65002
45374,52288
45374,42969
45374,27616
45374,53862
88395,94232
88395,75241
88395,80369
88395,93026
88395,96699
14672,8283
14672,3632
