source,target
4,2304
4,1005
4,5442
4,5681
4,7758
79876,88395
79876,99122
79876,86239
32774,32441
32774,32341
32774,32054
32774,45226
32774,55697
8199,4631
8199,16378
8199,12013
8199,7949
8199,4651
63496,72723
63496,72538
63496,54245
63496,28211
63496,88613
75798,66765
75798,75867
75798,76165
75798,79542
75798,74924
77850,86239
77850,67956
77850,90637
77850,74924
77850,76873
47136,45226
47136,52288
47136,48418
47136,40817
47136,31496
69672,70796
69672,77716
69672,66499
69672,88452
69672,85767
18473,17853
12330,12909
12330,3764
12330,30903
12330,47520
12330,11228
92202,93390
92202,91631
92202,99122
92202,87254
92202,78737
94252,99122
94252,95564
94252,87108
94252,97594
94252,88276
30767,29999
30767,45395
30767,30575
30767,26169
22575,15524
22575,18510
22575,4465
2100,4651
2100,11392
2100,974
20534,11228
20534,31772
20534,17875
20534,30903
20534,1227
28726,27203
28726,20407
28726,26783
28726,27195
6205,9594
6205,7633
6205,13884
6205,10311
6205,11392
73790,86239
73790,67853
73790,74924
73790,91234
73790,71093
6210,7758
6210,974
6210,186
6210,15128
6210,5681
10311,6205
10311,7633
10311,2585
10311,15042
10311,9594
63560,62518
63560,58027
63560,53608
63560,56027
63560,52180
67659,67853
67659,91234
67659,86239
67659,74924
65611,77282
65611,80645
65611,86415
65611,55204
65611,92800
10317,12182
10317,3064
10317,11912
10317,7744
10317,13884
18510,4465
18510,5056
18510,12704
18510,22575
10323,11451
10323,7340
10323,8816
10323,13884
10323,1433
18516,5626
18516,3586
18516,10947
18516,2755
18516,7416
90195,95564
90195,97594
90195,84845
90195,99122
90195,88276
28758,26513
28758,27205
28758,25916
28758,28502
28758,29058
57427,25612
57427,80645
57427,12909
57427,30903
57427,12330
65623,95776
65623,17853
28762,30153
28762,29909
28762,27047
28762,31225
75867,75798
75867,74924
75867,76165
59486,69764
59486,65405
59486,58851
59486,48238
12383,16602
12383,2184
12383,21215
12383,9826
84063,79876
84063,92473
84063,97603
84063,88395
98402,95530
98402,98656
98402,99122
98402,99485
98402,91975
82021,86239
82021,74924
82021,99122
82021,73124
82021,75963
59498,66499
59498,71093
59498,55575
59498,73790
51307,57599
51307,48929
51307,51404
51307,53012
51307,45226
73837,86665
73837,70053
73837,86146
73837,74440
73837,70796
26736,29232
26736,20746
26736,30241
26736,23407
75889,71093
75889,73504
75889,74924
75889,86239
75889,66499
96370,94765
82040,95530
82040,99122
82040,95564
82040,89560
82040,97594
6265,9086
6265,974
6265,5118
6265,12902
6265,10234
2170,974
2170,4631
2170,6085
2170,11392
2170,3874
26745,22498
26745,30195
26745,15145
53374,62921
53374,51952
53374,52505
53374,51404
53374,52288
86146,91453
86146,88452
86146,85767
86146,77581
86146,81597
69764,65405
69764,67117
69764,59612
69764,77716
69764,59486
94340,99122
94340,95564
94340,88417
94340,88276
2184,9826
2184,12383
2184,12992
2184,11392
2184,5547
51337,51178
51337,51716
51337,53608
51337,51404
51337,48734
4237,6085
4237,1570
4237,4710
4237,2554
4237,11470
90261,95564
90261,82982
90261,94575
90261,97594
90261,88276
26776,28591
26776,23880
26776,30767
26776,16219
61594,65395
61594,58521
61594,59612
61594,58851
61594,29999
69787,63138
69787,77716
69787,65395
69787,62518
69787,59612
26783,24834
26783,27047
26783,29058
26783,27195
26783,27205
88224,84633
88224,93938
88224,88276
88224,85672
88224,76627
51359,58851
51359,61959
51359,68962
12450,27203
12450,16365
12450,7633
12450,13150
12450,20407
82079,99122
82079,89378
82079,91234
82079,95564
4263,11392
4263,8028
4263,5442
4263,7744
4263,6210
45226,47136
45226,45316
45226,42394
45226,46187
45226,48734
53425,48929
53425,53012
53425,51404
53425,54934
53425,45226
10422,16726
10422,15361
10422,13884
10422,10686
10422,11993
30903,12330
30903,3764
30903,80560
30903,92800
30903,20534
186,6210
186,11392
186,8028
186,2877
186,6085
75963,74924
75963,86239
75963,99122
75963,73124
75963,92473
94404,97594
94404,88276
94404,80599
94404,95564
94404,92202
14533,12246
14533,17875
14533,12330
14533,20534
14533,3764
88265,97594
88265,84970
88265,97837
88265,88276
88265,86645
28874,30195
28874,28591
28874,29194
28874,27872
28874,27424
51404,52180
51404,53070
51404,51952
51404,51669
51404,51890
63693,62141
63693,51404
63693,55878
71889,67853
71889,76477
88276,75591
88276,86270
88276,73608
88276,89195
88276,82291
16602,15582
16602,12383
16602,12992
16602,20746
16602,11644
92379,95564
92379,99560
92379,97594
92379,88276
92379,99122
59612,61594
59612,65405
59612,62518
59612,59822
59612,61959
24797,13897
24797,30697
24797,3586
24797,5626
86239,82021
86239,80482
86239,90637
86239,91234
86239,86645
51424,48929
51424,51404
51424,53012
51424,45226
51424,48281
10469,16199
10469,13354
10469,4944
10469,2585
10469,1245
24806,24575
24806,12551
22772,19300
22772,3586
22772,23427
22772,5626
22772,10947
67835,68962
67835,81476
78077,74578
78077,80889
78077,81011
78077,79542
86270,88276
86270,97594
86270,76627
86270,95564
86270,73608
57599,51307
57599,47469
57599,42410
57599,46228
2304,974
2304,11392
2304,4
2304,14268
2304,2877
63745,67956
63745,59278
63745,57105
63745,77850
63745,67037
24834,29058
24834,26783
24834,27195
24834,24953
24834,27047
45316,45226
45316,32054
45316,41546
45316,54934
45316,43969
14597,9023
14597,5118
14597,6265
14597,15817
14597,14953
12551,13884
12551,11392
12551,19549
20744,19698
20744,19031
20744,17385
20746,15817
20746,23880
20746,23899
20746,16602
67853,76477
67853,73790
67853,67659
67853,71889
98573,60104
98573,80547
14607,1227
14607,12704
14607,11228
