source,target
4,117
4,5801
4,8028
4,8516
4,1453
79877,81283
79877,86821
79877,76568
79877,82579
79877,93209
32774,30982
32774,28713
32774,30232
32774,28637
32774,27676
6153,7050
6153,5791
6153,5090
6153,4778
6153,3078
22538,21123
22538,24806
22538,17034
22538,24023
83982,86831
83982,81763
83982,83808
83982,92175
83982,92464
92175,86831
92175,91616
92175,86270
92175,98573
92175,83982
94229,91031
94229,98182
94229,88265
94229,90708
75798,75994
75798,77804
75798,81193
75798,80861
75798,72522
59415,55393
59415,64122
59415,58508
59415,54872
59415,66228
94232,95803
94232,94404
94232,84970
94232,77597
94232,59907
18473,18971
18473,20865
18473,17239
18473,11559
18473,14197
12330,15127
12330,11568
12330,15278
12330,12226
12330,17964
6187,8812
6187,1453
6187,8516
6187,6381
6187,12551
28713,28637
28713,30982
28713,24806
28713,24023
28713,32774
2100,357
2100,7339
2100,8273
2100,2369
2100,9976
90165,87711
90165,89691
90165,92916
90165,94008
90165,88632
22588,24387
22588,20865
22588,22677
22588,18971
22588,17239
6210,8091
6210,1980
6210,5109
6210,3547
6210,7514
67659,67735
67659,68208
67659,72522
67659,75798
8273,8081
8273,7339
8273,11559
8273,11993
8273,9976
90195,88265
90195,89195
90195,88649
90195,90317
90195,91031
4187,5382
4187,9096
4187,7666
4187,3026
4187,12020
8283,8952
8283,6873
8283,9640
8283,6838
8283,5486
18529,21979
18529,17129
18529,18974
18529,19144
55393,54872
55393,50901
55393,58508
55393,59415
55393,51121
53348,51716
53348,50405
53348,51121
53348,55393
53348,51867
82021,81193
82021,83204
82021,77804
82021,75798
82021,75994
26736,27337
26736,24194
26736,26480
26736,19484
26736,21408
67696,60778
67696,66055
67696,59726
67696,67358
67696,70740
18546,16745
18546,15733
18546,14919
18546,17677
18546,15364
117,4
117,5801
117,1453
117,8516
117,6381
43126,45300
43126,44723
43126,47380
43126,50901
45176,40305
45176,41565
45176,46192
6265,7291
6265,7981
6265,5712
6265,9226
6265,2170
2170,1527
2170,4594
2170,6265
2170,366
2170,1245
12412,12135
12412,13294
12412,12777
92287,98016
92287,94765
92287,92695
92287,89447
92287,85899
69764,58257
69764,85516
69764,54385
69764,55921
69764,70271
94340,93829
94340,94685
94340,87711
94340,97837
94340,95672
22663,17677
22663,19995
22663,16745
22663,18546
22663,15733
51337,53432
51337,47956
51337,50556
51337,46538
51337,56805
2195,4038
2195,5760
2195,5569
2195,940
22677,24387
22677,22588
22677,27315
22677,27500
67735,74835
67735,72522
67735,76327
67735,65176
80030,76237
80030,85153
80030,80645
80030,76568
80030,73713
88224,83351
88224,87711
88224,94685
88224,82291
88224,90165
86176,83272
86176,86530
86176,91258
86176,90972
73902,82138
73902,84615
73902,62296
