source,target
79876,28566
79876,48123
75785,92420
75785,94575
75785,63110
75785,84063
75785,70807
32781,57437
32781,58005
32781,66824
32781,79016
32781,80560
32781,92800
14350,172
14350,4710
14350,5975
14350,23149
14350,27429
14350,29226
14350,30697
14350,32188
14350,46752
14350,52777
14350,63987
14350,72391
14350,81724
14350,85776
14350,91002
14350,91368
14350,93147
14350,94617
14350,99768
14350,30246
14350,56184
14350,92695
14350,26510
32797,46187
32797,97837
32797,58713
32797,59486
32797,64512
32797,66155
32797,45298
16415,172
16415,4710
16415,5975
16415,23149
16415,27429
16415,29226
16415,30697
16415,32188
16415,46752
16415,52777
16415,63987
16415,72391
16415,81724
16415,85776
16415,91002
16415,91368
16415,93147
16415,94617
16415,99768
16415,30246
16415,56184
16415,92695
16415,26510
90153,172
90153,4710
90153,5975
90153,23149
90153,27429
90153,29226
90153,30697
90153,32188
90153,46752
90153,52777
90153,63987
90153,72391
90153,81724
90153,85776
90153,91002
90153,91368
90153,93147
90153,94617
90153,99768
90153,30246
90153,56184
90153,92695
90153,26510
28720,172
28720,4710
28720,5975
28720,23149
28720,27429
28720,29226
28720,30697
28720,32188
28720,46752
28720,52777
28720,63987
28720,72391
28720,81724
28720,85776
28720,91002
28720,91368
28720,93147
28720,94617
28720,99768
28720,30246
28720,56184
28720,92695
28720,26510
28724,66656
28724,55739
28724,44996
28724,52343
28724,41937
59458,98656
59458,69215
59458,45298
59458,83169
59458,62334
77893,66824
77893,31381
77893,58005
77893,58888
45126,83498
45126,45974
45126,86270
45126,62733
45126,44534
10311,26510
10311,172
10311,4710
10311,5975
10311,23149
10311,27429
10311,29226
10311,30697
10311,32188
10311,46752
10311,52777
10311,63987
10311,72391
10311,81724
10311,85776
10311,91002
10311,91368
10311,93147
10311,94617
10311,99768
10311,30246
10311,56184
10311,92695
47183,95672
90195,57818
90195,79049
90195,88584
90195,96040
90195,79084
28762,4445
88154,72522
88154,31569
88154,43599
88154,46228
67676,95816
67676,32797
67676,48087
67676,54766
57437,29353
57437,45313
57437,69943
57437,58512
57437,73299
57437,85720
57437,98944
57437,32781
57437,32624
59486,48087
59486,64679
59486,32797
59486,46968
