source,target
86018,94765
86018,87704
86018,89792
86018,88211
86018,89560
22538,25143
22538,21453
22538,23637
22538,18805
6155,2420
6155,11568
6155,5385
6155,2919
12302,2420
12302,5453
12302,5791
12302,5691
94232,92050
94232,96901
94232,86379
94232,93722
94232,99560
47136,52263
47136,47469
22566,20704
22566,24283
22566,25348
22566,26169
22566,18805
69672,71093
69672,67676
69672,67696
69672,76873
69672,68109
90153,89646
90153,97916
90153,94534
6187,4382
6187,5712
6187,2420
6187,9107
6187,2512
79915,64965
79915,32553
52,1995
52,2486
52,2100
52,2420
52,2493
2100,52
2100,1045
2100,481
2100,993
2100,3495
81973,88452
81973,88417
81973,75438
81973,80599
81973,89577
28732,26714
28732,30419
28732,27583
6205,2420
6205,9107
6210,2420
6210,9107
6210,1570
6210,5558
26700,23637
26700,20704
26700,25143
26700,24283
59469,62334
59469,65154
59469,63200
59469,57734
78,4404
78,1227
78,2647
78,6662
78,8091
18510,11477
18510,21608
18510,10633
18510,794
18510,1724
20558,1724
20558,13294
20558,19226
20558,17666
20558,12564
18516,16757
18516,15524
18516,23149
18516,16815
18516,21408
26714,27424
26714,27157
26714,25666
26714,28732
26714,27583
8283,4237
8283,6187
8283,5450
8283,2420
8283,10652
67676,67696
67676,68109
67676,64844
67676,66499
67676,72522
59486,59225
59486,59246
59486,59744
59486,63138
59486,57734
98402,87704
98402,94765
98402,89560
98402,87254
98402,79084
16483,15422
16483,13144
16483,11470
16483,11644
16483,14703
51299,32553
51299,29055
51299,28531
51299,85516
82021,83301
82021,83342
82021,75666
82021,82291
82021,77771
77926,85655
77926,96772
77926,85516
73837,85672
73837,74924
73837,67934
73837,86279
73837,71364
26736,25666
26736,27583
26736,27424
26736,27112
26736,23935
67696,67676
67696,72522
67696,66657
67696,69672
67696,61687
75889,69450
75889,83088
75889,83924
75889,73499
96370,99862
96370,92050
96370,91123
8309,8005
8309,20071
8309,9640
8309,2585
45176,48342
45176,43969
45176,42843
45176,40493
45176,46187
6265,9107
6265,2420
6265,7260
6265,8028
6265,9100
26747,26169
26747,25702
26747,24283
26747,27199
26747,25874
28797,28403
28797,28913
28797,30912
53374,52260
53374,51663
53374,52598
53374,58521
53374,53743
69764,70323
69764,66055
69764,68797
69764,75525
69764,61991
2184,366
2184,4927
2184,4631
2184,4669
4237,5712
4237,8283
4237,481
4237,5450
4237,4382
14477,9580
14477,15042
80015,96772
80015,85062
88211,89792
88211,87704
88211,94765
88211,86018
88211,86948
10388,4710
10388,3495
10388,14703
10388,616
10388,12240
22677,19791
22677,29909
22677,22040
22677,21608
71831,67934
71831,68308
71831,68109
71831,67323
71831,73499
69787,67934
69787,72992
69787,68109
69787,67696
69787,81187
88224,87704
88224,82021
88224,81011
88224,89560
88224,94765
61606,59918
61606,63200
61606,59278
61606,67265
61606,58888
4263,9300
4263,10630
4263,24756
4263,20825
73902,68797
73902,75525
73902,91234
73902,70323
73902,88276
12467,1570
12467,17136
12467,11880
12467,6210
12467,6205
24756,4263
24756,10630
24756,1724
24756,10633
186,616
186,3495
186,7144
186,5442
186,4710
75963,92420
75963,80587
75963,92050
75963,98761
75963,90637
90302,89560
90302,98574
90302,98685
90302,89157
90302,87941
47295,43006
47295,49141
47295,44996
47295,42870
30912,31219
30912,31521
30912,31680
30912,29635
30912,32054
12483,2420
12483,16943
12483,9107
12483,5727
12483,17299
94404,91975
94404,78840
63686,68109
63686,61687
63686,67676
63686,64182
63686,67053
88265,88276
88265,81011
88265,87704
88265,95582
88265,89792
28874,28913
28874,28584
28874,30912
28874,27199
63693,68433
63693,65002
63693,69764
63693,70323
88276,85197
88276,89355
88276,80957
88276,84972
88276,81775
16602,17385
16602,17767
16602,11677
16602,25475
92379,91453
92379,89560
92379,87704
92379,94765
92379,82291
59612,57818
59612,67934
59612,68208
59612,56027
59612,66411
24797,24283
24797,24394
24797,23637
24797,20704
86239,84972
86239,80957
86239,92050
86239,85197
86239,89355
20704,22566
20704,18689
226,2420
226,1002
226,2919
226,6265
226,2554
18659,17767
18659,17385
18659,11677
18659,25538
18659,7744
20715,23019
20715,17666
20715,4263
20715,16815
20715,12564
28913,28874
28913,29306
28913,29635
28913,28797
28913,30912
28914,30419
28914,28300
28914,27142
28914,27337
57585,55703
57585,56734
57585,62334
57585,63200
57585,55739
22772,21604
22772,26059
22772,21019
22772,25348
61687,64844
61687,63017
61687,64182
61687,64295
61687,63686
12539,14703
12539,11644
12539,11470
12539,11247
12539,12240
8443,12240
8443,14703
8443,3495
8443,11247
8443,616
24828,1724
24828,13294
24828,12564
24828,4263
24828,16815
252,52
252,11568
252,616
252,993
252,5240
86270,86665
86270,93279
86270,96111
86270,78737
86270,91234
2304,2420
