source,target
90115,19236
90115,12246
90115,6800
90115,4445
63496,19236
63496,12246
63496,6800
63496,4445
73755,19236
73755,6800
73755,12246
73755,4445
32797,19236
32797,12246
32797,6800
32797,4445
43038,19236
43038,12246
43038,6800
43038,4445
47136,19236
47136,6800
47136,12246
47136,4445
26682,19236
26682,12246
26682,6800
26682,4445
59458,19236
59458,12246
59458,6800
59458,4445
59469,19236
59469,12246
59469,6800
59469,4445
43086,19236
43086,12246
43086,6800
43086,4445
22624,19236
22624,12246
22624,6800
22624,4445
51299,19236
51299,6800
51299,12246
51299,4445
30820,19236
30820,12246
30820,6800
30820,4445
79977,19236
79977,12246
79977,6800
79977,4445
96364,19236
96364,12246
96364,6800
96364,4445
92281,19236
92281,6800
92281,12246
92281,4445
82042,19236
82042,6800
82042,12246
82042,4445
45185,19236
45185,6800
45185,12246
45185,4445
57476,19236
57476,12246
57476,6800
57476,4445
71814,19236
71814,12246
71814,6800
71814,4445
71821,19236
71821,12246
71821,6800
71821,4445
88224,19236
88224,12246
88224,6800
88224,4445
86176,19236
86176,6800
86176,12246
86176,4445
73893,19236
73893,12246
73893,6800
73893,4445
61606,19236
61606,12246
61606,6800
61606,4445
4263,6800
4263,19236
4263,12246
4263,4445
49323,19236
49323,12246
49323,6800
49323,4445
82100,19236
82100,12246
82100,6800
82100,4445
57528,19236
57528,12246
57528,6800
57528,4445
47295,19236
47295,6800
47295,12246
47295,4445
28874,19236
28874,12246
28874,6800
28874,4445
63693,6800
63693,19236
63693,12246
63693,4445
90317,19236
90317,12246
90317,6800
90317,4445
45272,19236
45272,12246
45272,6800
45272,4445
75994,19236
75994,12246
75994,6800
75994,4445
92379,19236
92379,12246
92379,6800
92379,4445
82138,19236
82138,12246
82138,6800
82138,4445
45277,19236
45277,12246
45277,6800
45277,4445
61687,19236
61687,6800
61687,12246
61687,4445
55544,19236
55544,12246
55544,6800
55544,4445
45313,19236
45313,12246
45313,6800
45313,4445
8451,6800
8451,4445
8451,12246
8451,19236
86275,6800
86275,19236
86275,12246
86275,4445
55557,19236
55557,12246
55557,6800
55557,4445
98574,19236
98574,12246
98574,6800
98574,4445
14607,19236
14607,6800
14607,12246
14607,4445
90403,19236
90403,12246
90403,6800
90403,4445
92458,19236
92458,12246
92458,6800
92458,4445
98605,19236
98605,12246
98605,6800
98605,4445
41269,19236
41269,12246
41269,6800
41269,4445
31033,19236
31033,12246
31033,6800
31033,4445
45374,19236
45374,6800
45374,12246
45374,4445
20807,19236
20807,6800
20807,4445
20807,12246
53577,19236
53577,12246
53577,6800
53577,4445
59726,19236
59726,12246
59726,6800
59726,4445
67924,19236
67924,6800
67924,12246
67924,4445
4445,20327
4445,10160
4445,5308
4445,15900
4445,6042
67934,19236
67934,12246
67934,6800
67934,4445
88417,19236
88417,12246
88417,6800
88417,4445
76134,19236
76134,12246
76134,6800
76134,4445
82279,19236
82279,12246
82279,6800
82279,4445
82291,19236
82291,12246
82291,6800
82291,4445
94581,19236
94581,12246
94581,6800
94581,4445
59765,19236
59765,12246
59765,6800
59765,4445
57734,19236
57734,12246
57734,6800
57734,4445
72073,19236
72073,6800
72073,12246
72073,4445
86415,6800
86415,19236
86415,12246
86415,4445
55697,19236
55697,6800
55697,12246
55697,4445
47520,19236
47520,6800
47520,12246
47520,4445
65956,19236
65956,12246
65956,6800
65956,4445
59822,6800
59822,4445
59822,19236
59822,12246
53683,19236
53683,12246
53683,6800
53683,4445
55739,19236
55739,12246
55739,6800
55739,4445
49613,19236
49613,12246
49613,6800
49613,4445
18894,19236
18894,12246
18894,6800
18894,4445
65999,19236
65999,12246
65999,6800
65999,4445
80335,19236
80335,12246
80335,6800
80335,4445
74195,19236
74195,12246
74195,6800
74195,4445
27096,6800
27096,19236
27096,12246
27096,4445
63961,19236
63961,12246
63961,6800
63961,4445
76251,19236
76251,12246
76251,6800
76251,4445
27112,19236
27112,12246
27112,6800
27112,4445
74217,19236
74217,6800
74217,12246
74217,4445
82416,19236
82416,12246
82416,6800
82416,4445
27129,19236
27129,12246
27129,6800
27129,4445
88573,6800
88573,19236
88573,12246
88573,4445
53759,19236
53759,12246
53759,6800
53759,4445
61959,19236
61959,12246
61959,6800
61959,4445
88584,19236
88584,12246
88584,6800
88584,4445
66055,19236
66055,12246
66055,6800
66055,4445
51735,12246
51735,19236
51735,6800
51735,4445
92695,19236
92695,12246
92695,6800
92695,4445
68123,19236
68123,12246
68123,6800
68123,4445
88613,19236
88613,12246
88613,6800
88613,4445
41520,19236
41520,12246
41520,6800
41520,4445
66115,19236
66115,6800
66115,12246
66115,4445
88649,6800
88649,19236
88649,12246
88649,4445
68175,19236
68175,12246
68175,6800
68175,4445
90708,19236
90708,12246
90708,4445
90708,6800
55896,19236
