source,target
79877,28724
79877,40116
79877,40433
79877,42396
79877,46752
79877,49141
79877,53308
79877,53374
79877,54217
79877,54689
79877,57954
79877,62383
79877,65353
79877,65395
79877,65999
79877,66430
79877,66766
79877,67117
79877,76251
79877,77893
79877,80861
79877,81187
79877,88649
79877,89157
79877,89691
79877,91002
79877,94617
79877,98944
79877,99768
79877,70206
79877,50924
79877,10248
79877,53812
10248,64911
10248,66818
10248,97529
10248,45419
10248,99096
10248,59765
43017,66115
43017,88824
43017,91453
43017,46305
43017,64136
43017,67239
43017,64673
43017,98761
43017,47022
63496,53308
63496,50924
63496,70206
63496,28724
63496,40116
63496,40433
63496,42396
63496,46752
63496,49141
63496,53374
63496,54217
63496,54689
63496,57954
63496,62383
63496,65353
63496,65395
63496,65999
63496,66430
63496,66766
63496,67117
63496,76251
63496,77893
63496,80861
63496,81187
63496,88649
63496,89157
63496,89691
63496,91002
63496,94617
63496,98944
63496,99768
63496,10248
63496,53812
75798,54689
75798,80861
75798,28724
75798,40116
75798,40433
75798,42396
75798,46752
75798,49141
75798,53308
75798,53374
75798,54217
75798,57954
75798,62383
75798,65353
75798,65395
75798,65999
75798,66430
75798,66766
75798,67117
75798,76251
75798,77893
75798,81187
75798,88649
75798,89157
75798,89691
75798,91002
75798,94617
75798,98944
75798,99768
75798,70206
75798,50924
75798,10248
75798,53812
59415,79562
59415,77581
59415,64008
59415,83310
59415,89978
59415,48212
59415,87325
69672,32106
69672,40817
69672,46192
69672,47380
69672,48397
69672,56950
69672,61991
69672,62334
69672,63138
69672,64274
69672,64887
69672,66765
69672,71093
69672,72522
69672,72723
69672,80849
69672,81556
69672,82291
69672,89195
69672,93829
69672,94733
69672,97395
69672,85141
69672,91463
69672,47022
69672,67239
92202,89691
92202,28724
92202,40116
92202,40433
92202,42396
92202,46752
92202,49141
92202,53308
92202,53374
92202,54217
92202,54689
92202,57954
92202,62383
92202,65353
92202,65395
92202,65999
92202,66430
92202,66766
92202,67117
92202,76251
92202,77893
92202,80861
92202,81187
92202,88649
92202,89157
92202,91002
92202,94617
92202,98944
92202,99768
92202,70206
92202,50924
92202,10248
92202,53812
79915,73299
79915,78433
79915,86645
79915,58010
79915,46935
79915,48475
79915,70714
79915,43450
18484,49151
18484,18892
18484,32370
18484,45292
18484,55363
18484,62782
18484,71561
18484,71848
90165,88224
90165,88573
90165,47614
90165,63560
90165,7009
90165,67227
28724,27594
28724,31685
28724,40351
28724,40428
28724,41546
28724,41914
28724,42870
28724,47520
28724,48657
28724,50486
28724,50487
28724,50528
28724,51358
28724,52411
28724,53759
28724,53944
28724,54489
28724,57872
28724,58027
28724,58257
28724,59469
28724,59498
28724,60970
28724,63405
28724,63693
28724,64182
28724,66824
28724,67050
28724,68797
28724,69943
28724,70261
28724,71364
28724,72644
28724,73316
28724,75023
28724,75798
28724,76541
28724,77926
28724,78522
28724,79049
28724,79877
28724,80482
28724,81193
28724,81476
28724,83169
28724,85776
28724,86145
28724,86711
28724,87161
28724,87625
28724,88116
28724,88584
28724,89378
28724,90393
28724,92202
28724,95803
28724,99205
28724,58862
28724,48660
28724,40728
88116,28724
88116,40116
88116,40433
88116,42396
88116,46752
88116,49141
88116,53308
88116,53374
88116,54217
88116,54689
88116,57954
88116,62383
88116,65353
88116,65395
88116,65999
88116,66430
88116,66766
88116,67117
88116,76251
88116,77893
88116,80861
88116,81187
88116,88649
88116,89157
88116,89691
88116,91002
88116,94617
88116,98944
88116,99768
88116,70206
88116,50924
88116,10248
88116,53812
12344,18892
12344,49151
12344,32370
12344,45292
12344,55363
12344,62782
12344,71561
75829,46935
75829,48475
75829,70714
75829,43450
75829,68175
75829,45460
75829,73299
75829,78433
53308,40728
53308,77926
53308,27594
53308,31685
53308,40351
53308,40428
53308,41546
53308,41914
53308,42870
53308,47520
53308,48657
53308,50486
53308,50487
53308,50528
53308,51358
53308,52411
53308,53759
53308,53944
53308,54489
53308,57872
53308,58027
53308,58257
53308,59469
53308,59498
53308,60970
53308,63405
53308,63693
53308,64182
53308,66824
53308,67050
53308,68797
53308,69943
53308,70261
53308,71364
53308,72644
53308,73316
53308,75023
53308,75798
53308,76541
53308,78522
53308,79049
53308,79877
53308,80482
53308,81193
53308,81476
53308,83169
53308,85776
53308,86145
53308,86711
53308,87161
53308,87625
53308,88116
53308,88584
53308,89378
53308,90393
53308,92202
53308,95803
53308,99205
53308,58862
53308,48660
55363,22424
55363,45671
55363,50359
55363,70373
55363,84270
55363,90637
55363,97539
55363,62795
55363,53348
77893,95803
77893,66824
77893,27594
77893,31685
77893,40351
77893,40428
77893,41546
77893,41914
77893,42870
77893,47520
77893,48657
77893,50486
77893,50487
77893,50528
77893,51358
77893,52411
77893,53759
77893,53944
77893,54489
77893,57872
77893,58027
77893,58257
77893,59469
77893,59498
77893,60970
77893,63405
77893,63693
77893,64182
77893,67050
77893,68797
77893,69943
77893,70261
77893,71364
77893,72644
77893,73316
77893,75023
77893,75798
77893,76541
77893,77926
77893,78522
77893,79049
77893,79877
77893,80482
77893,81193
77893,81476
77893,83169
77893,85776
77893,86145
77893,86711
77893,87161
77893,87625
77893,88116
77893,88584
77893,89378
77893,90393
77893,92202
77893,99205
77893,58862
77893,48660
77893,40728
63560,63386
63560,96218
63560,74998
63560,29426
63560,67037
63560,51076
63560,57255
63560,73038
59469,28724
59469,40116
59469,40433
59469,42396
59469,46752
59469,49141
59469,53308
59469,53374
59469,54217
59469,54689
59469,57954
59469,62383
59469,65353
59469,65395
59469,65999
59469,66430
59469,66766
59469,67117
59469,76251
59469,77893
59469,80861
59469,81187
59469,88649
59469,89157
59469,89691
