source,target
6147,78
6147,13150
6147,4957
6147,13374
6147,52
4,4741
4,5975
4,1457
4,78
4,1704
63496,91002
63496,58242
63496,92458
63496,58441
30730,30612
30730,27636
30730,47101
30730,28732
30730,28808
30731,29306
30731,31615
30731,32637
30731,27429
30731,29026
92175,74217
92175,89447
86036,86831
86036,65176
86036,67956
86036,81328
94229,88276
94229,92939
94229,64274
94229,76134
75798,90403
75798,50743
75798,93209
75798,94046
75798,98930
94232,86146
94232,55921
94232,79348
94232,55337
94232,76327
24616,20744
24616,14664
24616,6187
24616,20409
55337,66557
55337,90886
55337,95564
6187,8516
6187,14664
6187,20409
6187,24616
6187,20744
52,18871
52,15477
52,6953
52,7650
52,13374
81973,84142
81973,66474
81973,83272
81973,99836
81973,71814
28732,29226
28732,29997
28732,28110
28732,28762
53308,54043
53308,47003
53308,51557
53308,49141
53308,70206
10304,3145
10304,18689
10304,5547
10304,21153
59469,70206
59469,75403
59469,51557
59469,98196
59469,54043
78,2553
78,974
78,4038
78,7650
78,6147
90195,90075
90195,81636
90195,85516
90195,66745
90195,75142
28762,28732
28762,28161
28762,28808
28762,27636
8283,21773
8283,5382
8283,10842
8283,11116
8283,9356
75867,78988
57437,75514
57437,63339
84063,72351
84063,81724
84063,96686
84063,99756
12384,11228
12384,21282
12384,6024
12384,7009
12384,22844
53348,72290
53348,67788
53348,68797
53348,67924
53348,59918
82021,72290
82021,66055
82021,67924
82021,59918
82021,68797
79977,72073
79977,82770
79977,76182
79977,80644
79977,99085
59498,46187
59498,46228
59498,51669
59498,50487
75883,93722
75883,76237
75883,79414
75883,73316
75883,66688
75889,57476
75889,70156
75889,71483
73843,68797
73843,59918
73843,67788
73843,43126
73843,72290
43126,73843
43126,72102
82040,65176
82040,86036
82040,70156
82040,57476
2170,18087
2170,21242
2170,18659
2170,3145
12412,15337
12412,236
12412,14044
86146,95447
86146,94232
59523,95816
59523,81850
59523,85457
59523,76327
59523,80644
57476,75889
57476,86036
57476,82040
57476,80482
57476,90075
94340,97547
94340,87706
94340,94229
94340,60020
94340,94765
71814,70971
71814,80335
71814,75525
71814,80587
71814,76541
28808,29414
28808,28161
2184,21282
2184,7009
2184,6024
2184,3888
2184,5242
71821,79264
71821,60106
71821,79348
71821,72102
10388,226
10388,13830
10388,5875
10388,19351
16535,689
2200,4957
2200,78
2200,1329
2200,1148
2200,14703
69787,89310
69787,79414
69787,80482
69787,73316
69787,67924
80030,65342
80030,54385
80030,67924
80030,87869
80030,72290
73893,60897
73893,64904
73893,87846
73893,66688
73893,73316
24743,18734
24743,14990
24743,19338
24743,14268
16554,1554
16554,13819
16554,13627
16554,4710
63659,54385
63659,48935
63659,65342
63659,48174
63659,48660
4268,13599
4268,6081
4268,14898
172,18635
172,5060
172,4405
172,21220
172,22844
10414,10842
10414,5382
10414,902
10414,21773
10414,2369
84142,78463
84142,81973
84142,88911
84142,80587
84142,80369
53425,70521
53425,67037
53425,50556
53425,59255
10422,17883
10422,16727
10422,5989
10422,8947
10422,13014
57528,83272
57528,84142
57528,99836
57528,76251
57528,66474
186,5242
186,6024
186,21282
186,736
186,3888
188,21256
188,15477
188,6360
188,7981
188,6953
47295,42394
47295,32192
47295,55697
47295,47614
2245,3790
2245,11607
2245,11147
2245,14044
18635,172
18635,5060
67788,56287
67788,64679
67788,53348
67788,73843
67788,58521
26829,18689
26829,5547
26829,15964
26829,21153
90317,77383
90317,78419
90317,94046
90317,86145
90317,90403
84179,90886
88276,94229
88276,76251
88276,97547
88276,60020
88276,99836
92373,77383
92373,94046
92373,90403
92373,78419
92373,91031
6360,17299
6360,7536
6360,10842
6360,188
6360,902
45272,41729
45272,49565
45272,50026
45272,53866
92379,58852
92379,87846
92379,59039
92379,67164
92379,76237
45277,31854
45277,49141
45277,31615
20704,21431
20704,28292
226,11150
226,10388
226,15361
226,13830
226,8091
18659,21242
18659,18087
18659,9580
18659,2170
10469,1256
10469,11032
10469,10642
10469,3495
236,17891
236,12412
236,634
236,11147
236,2245
84213,85457
84213,81850
84213,95816
84213,80644
84213,85559
252,5242
252,6024
252,3888
252,21282
252,6850
18689,10304
18689,26829
18689,3145
18689,2170
18689,15964
86275,83497
45315,53759
45315,50231
45315,43876
45315,80826
51462,54385
51462,67924
51462,66055
51462,59918
51462,68797
20744,24616
20744,6187
20744,12709
20744,10234
267,11116
267,902
267,7138
267,3632
267,5662
55575,64911
55575,51506
55575,82040
90393,58852
90393,76237
90393,93722
90393,87846
90393,59039
6429,7152
6429,7960
6429,15733
6429,21215
6429,736
12573,23339
12573,17924
74016,52370
74016,54083
74016,50254
74016,58005
74016,58242
90403,98899
90403,75798
90403,50743
90403,78934
90403,81597
16676,18382
16676,19484
16676,21408
16676,13354
67877,70323
67877,60715
67877,75403
67877,64846
92458,58242
92458,63496
92458,62945
92458,65219
92458,59469
18734,13014
18734,14990
18734,5989
18734,24743
18734,14268
4398,1704
4398,1457
4398,4741
4398,78
4398,4405
92464,87158
92464,88588
51506,50261
51506,55575
4404,3888
4404,7009
4404,21948
4404,21282
4404,22844
4405,1256
69943,73008
69943,58862
69943,46034
69943,42364
69943,31203
92473,76251
92473,94229
92473,75142
92473,99836
92473,97547
22844,11558
22844,7744
22844,4404
22844,2184
2365,5561
2365,1734
2365,21651
2365,15219
98622,88588
2369,17385
2369,11477
2369,11605
2369,797
2369,3300
8516,6187
8516,1329
8516,14703
8516,10234
8516,4957
14664,24616
14664,6187
14664,13150
14664,8516
14664,10234
329,14031
329,10388
329,7138
329,226
329,6838
88395,96218
88395,50743
88395,98930
88395,87706
88395,90403
59726,94778
59726,97503
59726,80658
14672,5453
14672,13599
14672,878
14672,16365
14672,14898
82257,90972
45395,50486
45395,47003
45395,56734
29012,25458
29012,31307
67924,82021
67924,64514
67924,51462
67924,70180
67924,80030
16727,10422
16727,13301
16727,14947
59744,89310
59744,66688
59744,73316
59744,65342
59744,79414
29026,29306
29026,32637
29026,30731
51555,50487
51555,50486
51555,46187
51555,46228
51555,31219
20836,14947
20836,13301
357,3947
357,616
357,5490
357,720
51557,65219
51557,70505
51557,59469
51557,62945
51557,53308
94564,66264
94564,85444
