source,target
90115,5797
90115,4979
90115,14533
90115,80482
75785,140
75785,186
75785,1322
75785,1329
75785,1357
75785,1457
75785,1704
75785,2304
75785,2478
75785,2570
75785,3300
75785,3826
75785,4699
75785,4710
75785,4732
75785,5109
75785,5240
75785,5308
75785,5442
75785,5875
75785,6155
75785,6489
75785,6505
75785,6516
75785,6662
75785,6911
75785,6912
75785,6922
75785,7181
75785,7977
75785,8068
75785,8816
75785,8904
75785,9226
75785,9296
75785,9366
75785,9580
75785,10011
75785,10059
75785,10311
75785,10317
75785,10630
75785,10633
75785,11106
75785,11470
75785,11477
75785,12467
75785,12819
75785,13144
75785,13884
75785,13936
75785,14268
75785,14602
75785,14641
75785,15422
75785,15477
75785,15811
75785,15964
75785,16066
75785,16415
75785,16840
75785,17034
75785,17139
75785,17666
75785,17757
75785,17853
75785,18185
75785,18231
75785,18382
75785,18401
75785,18430
75785,18475
75785,18635
75785,18659
75785,18805
75785,19300
75785,19516
75785,19995
75785,20628
75785,20715
75785,21242
75785,21974
75785,22007
75785,22283
75785,22440
75785,22972
75785,23614
75785,23880
75785,24030
75785,24180
75785,24697
75785,24805
75785,24993
75785,25369
75785,25429
75785,25702
75785,25766
75785,25873
75785,26059
75785,26267
75785,26513
75785,26885
75785,26947
75785,26999
75785,27275
75785,27638
75785,27771
75785,27945
75785,28172
75785,28242
75785,28547
75785,28637
75785,28762
75785,28891
75785,28977
75785,29226
75785,29232
75785,29573
75785,29722
75785,29909
75785,30612
75785,30740
75785,30881
75785,30987
75785,31241
75785,31307
75785,31446
75785,31535
75785,31856
75785,32422
75785,45272
75785,46752
75785,47136
75785,50359
75785,58031
75785,66824
75785,67037
75785,67117
75785,70340
75785,70373
75785,75567
75785,80560
75785,81476
75785,81597
75785,81724
75785,88276
75785,89577
75785,91960
75785,19113
75785,31439
75785,10160
75785,31030
30731,10939
30731,15916
30731,27329
30731,15496
30731,19359
6155,761
6155,2100
6155,8443
6155,11364
6155,12344
6155,17474
