source,target
4,18635
4,18430
4,4038
4,23752
4,5689
79876,50026
79876,83854
79876,88154
79876,78077
79876,93435
79876,64844
79876,70323
6155,25708
6155,4669
6155,5681
6155,27745
6155,15127
83982,55204
83982,52532
83982,50405
83982,57592
30740,21242
30740,329
30740,1024
30740,1433
30740,3064
30740,3642
30740,7493
30740,9224
30740,11677
30740,11704
30740,13144
30740,14238
30740,16000
30740,16063
30740,17034
30740,17489
30740,17829
30740,18373
30740,18382
30740,18894
30740,19300
30740,19516
30740,20744
30740,21408
30740,22972
30740,23899
30740,26924
30740,27771
30740,28076
30740,28242
30740,31307
30740,31446
30740,32316
30740,32467
30740,32593
30740,20704
30740,5626
26648,17666
26648,22963
26648,1206
77850,46187
77850,48281
77850,59744
77850,87711
77850,97070
77850,79649
77850,91975
77850,95564
77850,22114
12319,14077
12319,11295
6187,11008
6187,7355
6187,10000
6187,28122
6187,12483
94252,64887
94252,95631
94252,43602
94252,65154
94252,82982
79915,50743
79915,68663
30767,19771
52,4445
52,10234
52,20715
52,17014
52,25348
52,23019
6210,2512
6210,5882
6210,20836
6210,11003
59458,95631
59458,74924
59458,51404
59458,94252
59458,90261
47183,31942
47183,84881
47183,96833
47183,65176
57427,44979
57427,96199
88154,90261
88154,50026
88154,83854
88154,78077
88154,93435
88154,74924
88154,79876
67676,55802
67676,90111
67676,82079
67676,89965
12384,9993
12384,21820
12384,720
22624,11019
16483,25300
16483,28167
16483,12992
16483,29635
16483,6983
79977,75249
79977,46187
79977,48281
79977,59744
79977,87711
79977,97070
59498,69020
59498,96833
59498,31942
73837,76134
73837,82563
73837,87704
73837,57317
26736,2451
26736,29635
26736,6983
26736,3917
96370,58732
96370,69299
96370,97603
96370,51557
43126,98573
43126,50743
45176,85464
45176,27981
45176,67265
45176,41251
26745,28836
26745,28300
26745,21153
26745,5611
26746,17129
26746,16602
26746,23935
26746,7171
82042,40094
82042,99923
12412,11825
12412,20130
12412,25736
12412,7514
45185,49705
45185,43961
45185,67512
24712,1386
24712,23317
24712,3300
24712,28629
24712,24912
140,25510
140,28110
140,11204
140,32441
140,8525
14477,393
14477,17059
14477,11008
14477,22058
14477,31639
14477,10000
14477,27493
80015,29624
80015,31029
88211,96240
88211,40094
88211,60947
90261,88154
90261,74924
90261,57317
90261,78077
90261,93435
90261,50026
90261,83854
2200,22391
2200,11614
2200,28516
2200,27493
2200,28493
82079,55802
82079,90111
82079,67676
82079,40412
82079,54133
82079,68962
12450,794
12450,2512
28836,26745
28836,28300
28836,5611
28836,21153
49323,54766
49323,40412
49323,56734
49323,67934
49323,76381
49323,76873
49323,81443
49323,92939
49323,96111
49323,97594
49323,53012
49323,56950
49323,58852
49323,75591
49323,86410
49323,91478
49323,93938
49323,54133
49323,68962
49323,27471
172,12660
172,23752
172,18430
172,18635
172,4038
4271,914
82100,63053
82100,79795
82100,72582
82100,55147
82100,84881
186,21503
186,11363
186,28914
186,4004
186,5786
12483,10000
12483,11008
12483,6187
12483,22058
12483,31639
12483,6429
2245,28629
2245,11568
2245,23317
2245,24712
2245,19359
88265,29377
88265,69299
88265,88824
88265,84615
18635,18430
18635,4
18635,4038
18635,23752
18635,172
51404,83342
51404,95631
51404,82982
51404,59458
16602,23935
16602,26746
16602,1699
16602,7171
28891,20994
28891,6085
75994,97765
75994,91960
20704,5626
20704,8068
20704,11470
20704,329
20704,1024
20704,1433
20704,3064
20704,3642
20704,7493
20704,9224
20704,11677
20704,11704
20704,13144
20704,14238
20704,16000
20704,16063
20704,17034
20704,17489
20704,17829
20704,18373
20704,18382
20704,18894
20704,19300
20704,19516
20704,20744
20704,21408
20704,22972
20704,23899
20704,26924
20704,27771
20704,28076
20704,28242
20704,31307
20704,31446
20704,32316
20704,32467
20704,32593
20704,30740
18659,8443
18659,10850
18659,15422
18659,20746
18659,23711
18659,26169
18659,4957
18659,9366
88296,83497
88296,87352
88296,96199
20715,52
20715,4445
20715,10234
20715,23019
20715,17014
20715,25348
28914,10876
28914,5786
28914,21503
28914,186
28914,4004
55544,66409
55544,64845
55544,32548
55544,72943
55544,30247
18681,20473
18681,10612
18681,32441
18681,28110
57592,55204
57592,52532
57592,40738
57592,50405
57592,70467
8443,9366
8443,15422
8443,18659
8443,10850
8443,20746
8443,23711
8443,26169
8443,4957
78077,93435
78077,50026
78077,83854
78077,90111
78077,77787
78077,88154
28927,29393
28927,28122
28927,7355
28927,10000
28927,17617
92420,44624
92420,52663
92420,32453
92420,52288
92420,81476
92420,89160
20744,27771
20744,1024
20744,329
20744,1433
20744,3064
20744,3642
20744,7493
20744,9224
20744,11677
20744,11704
20744,13144
20744,14238
20744,16000
20744,16063
20744,17034
