source,target
4,31535
4,1967
4,6676
4,7144
4,10366
4,10633
4,15227
4,21019
4,21525
4,30887
4,6824
4,7355
4,28099
4,30903
4,31360
4,27404
4,7339
4,8005
4,9661
4,11008
4,11421
4,24534
4,1094
4,5450
4,5909
4,6863
4,6922
4,7138
4,7275
4,10876
4,18546
4,19164
4,23138
4,24560
4,31446
4,292
4,452
73755,85327
73755,42474
73755,79084
73755,42281
73755,67089
73755,76780
73755,99197
73755,58510
73755,67477
73755,71814
73755,96645
32797,85327
32797,42474
32797,79084
32797,42281
32797,67089
32797,76780
32797,99197
32797,58510
32797,67477
32797,71814
32797,96645
16415,7144
16415,1967
16415,6676
16415,10366
16415,10633
16415,15227
16415,21019
16415,21525
16415,30887
16415,6824
16415,7355
16415,28099
16415,30903
16415,31360
16415,27404
16415,7339
16415,8005
16415,9661
16415,11008
16415,11421
16415,24534
16415,1094
16415,5450
16415,5909
16415,6863
16415,6922
16415,7138
16415,7275
16415,10876
16415,18546
16415,19164
16415,23138
16415,24560
16415,31446
16415,31535
16415,16365
16415,16535
16415,16840
90153,90075
90153,67477
90153,90302
90153,90393
90153,89792
81973,71814
81973,85327
81973,42474
81973,79084
81973,42281
81973,67089
81973,76780
81973,99197
81973,58510
81973,67477
81973,96645
81973,81846
81973,82257
81973,81480
8273,7339
8273,30887
8273,1967
8273,6676
8273,7144
8273,10366
8273,10633
8273,15227
8273,21019
8273,21525
8273,6824
8273,7355
8273,28099
8273,30903
8273,31360
8273,27404
8273,8005
8273,9661
8273,11008
8273,11421
8273,24534
8273,1094
8273,5450
8273,5909
8273,6863
8273,6922
8273,7138
8273,7275
8273,10876
8273,18546
8273,19164
8273,23138
8273,24560
8273,31446
8273,31535
8273,8427
98402,99197
98402,79084
98402,85327
98402,42474
98402,42281
98402,67089
98402,76780
98402,58510
98402,67477
98402,71814
98402,96645
98402,94581
98402,94166
24697,23138
24697,24534
24697,1967
24697,6676
24697,7144
24697,10366
24697,10633
24697,15227
24697,21019
24697,21525
24697,30887
24697,6824
24697,7355
24697,28099
24697,30903
24697,31360
24697,27404
24697,7339
24697,8005
24697,9661
24697,11008
24697,11421
24697,1094
24697,5450
24697,5909
24697,6863
24697,6922
24697,7138
24697,7275
24697,10876
24697,18546
24697,19164
24697,24560
24697,31446
24697,31535
16535,1967
16535,6676
16535,7144
16535,10366
16535,10633
16535,15227
16535,21019
16535,21525
16535,30887
16535,16415
16535,16365
16535,16840
16554,1967
16554,6676
16554,7144
16554,10366
16554,10633
16554,15227
16554,21019
16554,21525
16554,30887
16554,6824
16554,7355
16554,28099
16554,30903
16554,31360
16554,27404
16554,7339
16554,8005
16554,9661
16554,11008
16554,11421
16554,24534
16554,1094
16554,5450
16554,5909
16554,6863
16554,6922
16554,7138
16554,7275
16554,10876
16554,18546
16554,19164
16554,23138
16554,24560
16554,31446
16554,31535
24756,10633
24756,24560
24756,1967
24756,6676
24756,7144
24756,10366
24756,15227
24756,21019
24756,21525
24756,30887
24756,6824
24756,7355
24756,28099
24756,30903
24756,31360
24756,27404
24756,7339
24756,8005
24756,9661
24756,11008
24756,11421
24756,24534
24756,1094
24756,5450
24756,5909
24756,6863
24756,6922
24756,7138
24756,7275
24756,10876
24756,18546
24756,19164
24756,23138
24756,31446
24756,31535
24756,22788
57528,85327
57528,42474
57528,79084
57528,42281
57528,67089
57528,76780
57528,99197
57528,58510
57528,67477
57528,71814
57528,96645
186,5450
186,7144
186,1967
186,6676
186,10366
186,10633
186,15227
186,21019
186,21525
186,30887
186,6824
186,7355
186,28099
186,30903
186,31360
186,27404
186,7339
186,8005
186,9661
186,11008
186,11421
186,24534
186,1094
186,5909
186,6863
186,6922
186,7138
186,7275
186,10876
186,18546
186,19164
186,23138
186,24560
186,31446
186,31535
90302,85327
90302,90393
90302,90153
90302,90403
90302,90479
57550,58510
57550,67477
57550,71814
57550,96645
57550,58203
57550,58441
57550,57818
8427,7275
8427,1967
8427,6676
8427,7144
8427,10366
8427,10633
8427,15227
8427,21019
8427,21525
8427,30887
8427,8005
8427,9661
8427,7339
57581,71814
57581,85327
57581,42474
57581,79084
57581,42281
57581,67089
57581,76780
57581,99197
57581,58510
57581,67477
57581,96645
57581,56287
57581,55878
57581,57550
57599,85327
57599,42474
57599,79084
57599,42281
57599,67089
57599,76780
57599,99197
57599,58510
57599,67477
57599,71814
57599,96645
267,7138
267,1967
267,6676
267,7144
267,10366
267,10633
267,15227
267,21019
267,21525
267,30887
267,6824
267,7355
267,28099
267,30903
267,31360
267,27404
267,7339
267,8005
267,9661
267,11008
267,11421
267,24534
267,1094
267,5450
267,5909
267,6863
267,6922
267,7275
267,10876
267,18546
267,19164
267,23138
267,24560
267,31446
267,31535
267,292
267,452
90393,99197
90393,85327
90393,42474
90393,79084
90393,42281
90393,67089
90393,76780
